match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Anthony Edwards,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,1.87,1.87,TAB,569891,569892
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Alperen Sengun,Houston Rockets,Minnesota Timberwolves,Player Blocks,1.5,3.2,1.32,TAB,570616,570623
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,NA,NA,NA,Player Blocks,0.5,1.95,1.8,TAB,575623,575624
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Dillon Brooks,Houston Rockets,Minnesota Timberwolves,Player Blocks,0.5,4.6,1.17,TAB,571989,571990
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,NA,NA,NA,Player Blocks,0.5,2.65,1.45,TAB,575025,575026
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Fred VanVleet,Houston Rockets,Minnesota Timberwolves,Player Blocks,0.5,3.2,1.32,TAB,570788,570807
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Julius Randle,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,4,1.22,TAB,570636,570637
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Jalen Smith,Chicago Bulls,NA,Player Blocks,0.5,2.2,1.62,TAB,570121,570124
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Jaden McDaniels,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,1.6,2.25,TAB,571842,571844
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Javonte Green,New Orleans Pelicans,NA,Player Blocks,0.5,3.5,1.27,TAB,572153,572154
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Jalen Green,Houston Rockets,Minnesota Timberwolves,Player Blocks,0.5,3.5,1.27,TAB,572153,572154
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Mike Conley,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,3.8,1.24,TAB,570754,570755
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Nickeil Alexander-Walker,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,2.35,1.55,TAB,575502,575503
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Naz Reid,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,1.8,1.95,TAB,572065,572066
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Rudy Gobert,Minnesota Timberwolves,Houston Rockets,Player Blocks,2.5,2.65,1.45,TAB,569994,569995
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Tari Eason,Houston Rockets,Minnesota Timberwolves,Player Blocks,0.5,1.72,2.05,TAB,575769,575770
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Collin Sexton,Utah Jazz,San Antonio Spurs,Player Blocks,0.5,4.5,1.18,TAB,579404,579405
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Chris Paul,San Antonio Spurs,Utah Jazz,Player Blocks,0.5,5.2,1.14,TAB,578690,578691
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Drew Eubanks,Utah Jazz,San Antonio Spurs,Player Blocks,0.5,2.1,1.68,TAB,580016,580017
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Harrison Barnes,San Antonio Spurs,Utah Jazz,Player Blocks,0.5,3.8,1.24,TAB,579694,579695
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Isaiah Collier,Utah Jazz,San Antonio Spurs,Player Blocks,0.5,3.6,1.26,TAB,578222,578223
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,NA,NA,NA,Player Blocks,0.5,2.3,1.58,TAB,578826,578827
